gender,ug_course,ug_specialization,interests,skills,cgpa,has_certification,certification_title,is_working,masters_field,job_title
Male,B.Tech,Electronics,"Music, Networking, Hardware","CCNA, Routing, Firewalls, Communication",6.26,Yes,CCNP,No,MS in Telecommunications,Network Engineer
Female,B.Tech,Mathematics,"Artificial Intelligence, Deep Learning, Sports, Research","Excel, PyTorch, TensorFlow, Machine Learning, Mathematics",9.44,No,None,Yes,M.Tech in AI,Machine Learning Engineer
Male,B.Tech,Electronics,"Music, Ethical Hacking, Cyber Security","Cryptography, Ethical Hacking, Python, Network Security, Linux",7.78,Yes,CEH Ethical Hacker,No,No Masters,Cybersecurity Analyst
Male,BSc,Business Administration,"Management, Music, Data Analysis","SQL, Communication, Project Management",8.2,Yes,Google Data Analytics,Yes,MS in Business Analytics,Business Analyst
Male,BSc,Physics,"Research, Mathematics, Artificial Intelligence","Python, Git, NLP, SQL",8.59,Yes,Google ML Engineer,Yes,MSc in Mathematics,AI Research Scientist
Female,BSc,Computer Science,"Music, Automation, Cloud Computing","Excel, Linux, CI/CD, Docker",7.41,Yes,Kubernetes CKA,Yes,No Masters,DevOps Engineer
Male,B.Tech,Computer Science,"Backend, Reading, Database Management","MySQL, Teamwork, Oracle, Communication",8.12,Yes,Oracle DBA Certification,No,MS in Information Systems,Database Administrator
Male,BSc,Information Technology,"Problem Solving, Software Development, Cooking","Git, Excel, Java, Python",8.22,No,None,Yes,MS in Software Engineering,Software Engineer
Female,BBA,Computer Science,"Management, Business Strategy, Data Analysis, Cooking","Project Management, SQL, Linux",7.19,Yes,Power BI Certificate,Yes,No Masters,Business Analyst
Female,B.Tech,Physics,"Artificial Intelligence, Research, Mathematics","Deep Learning, NLP, Research Writing, Git",8.0,No,None,Yes,PhD in CS,AI Research Scientist
Female,B.Tech,Computer Science,"System Design, Reading, Cloud Computing, Automation","Excel, Communication, Docker, AWS",7.62,Yes,AWS DevOps Engineer,No,MS in Cloud Computing,DevOps Engineer
Male,BSc,Physics,"Artificial Intelligence, Mathematics","Deep Learning, Communication, NLP, Mathematics",9.39,Yes,Reinforcement Learning Specialization,Yes,M.Tech in AI,AI Research Scientist
Female,B.Tech,Computer Science,"Artificial Intelligence, Deep Learning, Sports, Research","TensorFlow, Python, Machine Learning",8.86,Yes,Google ML Engineer,Yes,MS in Machine Learning,Machine Learning Engineer
Female,B.Tech,Software Engineering,"Programming, Design, Photography, App Development","Kotlin, Problem Solving, Java, Flutter",7.72,Yes,Flutter Development Bootcamp,Yes,M.Tech in CS,Mobile App Developer
Female,BBA,Engineering,"Gaming, Product Strategy","Roadmapping, Communication, Data Analysis, JIRA",7.15,No,None,Yes,M.Tech in CS,Product Manager
Male,BDes,Visual Arts,"Photography, User Experience, Graphic Design, Creativity","Problem Solving, Figma, Prototyping",5.66,Yes,Interaction Design Foundation,No,M.Des,UI/UX Designer
Male,B.Tech,Electronics,"Gaming, Cloud Computing, Automation","Excel, Kubernetes, AWS, Docker",7.55,Yes,Docker Certified Associate,Yes,M.Tech in CS,DevOps Engineer
Male,B.Tech,Electronics,"Photography, Deep Learning","Python, TensorFlow, Machine Learning",7.93,Yes,Deep Learning Specialization,Yes,M.Tech in AI,Machine Learning Engineer
Male,B.Tech,Computer Science,"Gaming, Software Development","Java, Git, SQL, Python, C++",7.74,No,None,Yes,MS in Software Engineering,Software Engineer
Male,B.Tech,Information Technology,"Networking, Music, Cloud Infrastructure, Automation","Communication, Linux, Azure",7.72,Yes,CompTIA Cloud+,No,M.Tech in Cloud,Cloud Engineer
Female,B.Tech,Mathematics,"Cooking, Data Analysis, Statistics, Machine Learning","Tableau, Communication, SQL",9.59,Yes,Coursera ML Specialization,Yes,MS in Statistics,Data Scientist
Male,BSc,Computer Science,"Deep Learning, Research, Music, Artificial Intelligence","TensorFlow, Problem Solving, PyTorch",8.73,No,None,No,No Masters,Machine Learning Engineer
Female,B.Tech,Information Technology,"Automation, Sports","Excel, Linux, SQL, Docker",7.08,Yes,Kubernetes CKA,Yes,No Masters,DevOps Engineer
Male,BSc,Computer Science,"System Design, Automation, Cooking","Linux, AWS, Docker, Git, CI/CD",8.73,No,None,No,No Masters,DevOps Engineer
Female,B.Tech,Electronics,"Reading, Networking, Ethical Hacking, Cyber Security","Ethical Hacking, Python, Teamwork",7.57,Yes,CISSP,Yes,M.Tech in Cybersecurity,Cybersecurity Analyst
Female,MSc,Physics,"Research, Artificial Intelligence, Sports, Mathematics","Deep Learning, NLP, Mathematics, Research Writing, Linux",9.93,Yes,Deep Learning Specialization,No,MSc in Statistics,AI Research Scientist
Female,BSc,Computer Science,"Networking, Photography","Communication, Linux, CCNA, Routing, Firewalls",7.34,Yes,CCNP,Yes,No Masters,Network Engineer
Male,BBA,Management,"Consulting, IT Management","ERP Systems, SQL, Project Management",8.51,Yes,Microsoft 365 Fundamentals,Yes,MBA,IT Consultant
Female,BSc,Electronics,"Automation, Travel, Cloud Computing, System Design","Teamwork, CI/CD, Kubernetes, AWS",7.35,Yes,AWS DevOps Engineer,Yes,MS in Cloud Computing,DevOps Engineer
Male,BCA,Computer Science,"Data Analysis, Cooking, Statistics, Machine Learning","Tableau, Machine Learning, Problem Solving, Python, SQL",8.0,Yes,Google Data Analytics,Yes,MSc in Data Science,Data Scientist
Male,BCA,Software Engineering,"Music, Design","React Native, Swift, Kotlin, Git",7.57,Yes,Apple Swift Certification,Yes,MCA,Mobile App Developer
Female,B.Tech,Electronics,"Travel, Cloud Computing, System Design","Docker, Linux, Problem Solving, Git",9.3,Yes,HashiCorp Terraform,Yes,MS in Cloud Computing,DevOps Engineer
Male,BSc,Business Administration,"Management, Reading, Business Strategy","Project Management, Git, Power BI",7.0,Yes,CBAP Certification,Yes,No Masters,Business Analyst
Male,B.Tech,Electronics,"Cyber Security, Cooking, Ethical Hacking, Networking","Python, SQL, Cryptography, Linux",7.08,Yes,CISSP,Yes,M.Tech in Cybersecurity,Cybersecurity Analyst
Male,BCA,Information Technology,"Design, Programming","Swift, React Native, Communication",8.07,No,None,Yes,MCA,Mobile App Developer
Male,BSc,Computer Science,"Gaming, Programming","SQL, Python, Git",7.38,No,None,No,M.Tech in CS,Software Engineer
Male,BSc,Computer Science,"System Administration, Hardware, Photography","CCNA, SQL, Firewalls",8.79,No,None,Yes,No Masters,Network Engineer
Female,BSc,Computer Science,"Management, Business Strategy, Data Analysis, Travel","SQL, Problem Solving, Project Management, Power BI",8.62,Yes,CBAP Certification,Yes,No Masters,Business Analyst
Male,BSc,Statistics,"Research, Gaming","Mathematics, Communication, Teamwork",9.23,No,None,Yes,MSc in Mathematics,AI Research Scientist
Female,BSc,Design,"Creativity, Graphic Design, User Experience, Travel","Figma, Sketch, Teamwork, Excel",5.77,No,None,Yes,M.Des,UI/UX Designer
Female,BSc,Business Administration,"Data Analysis, Management, Cooking","Excel, Teamwork, Problem Solving, SQL, Power BI",6.36,Yes,Google Data Analytics,No,MS in Business Analytics,Business Analyst
Male,BSc,Computer Science,"Photography, Ethical Hacking, Networking","Ethical Hacking, Network Security, Linux",8.34,Yes,CEH Ethical Hacker,Yes,M.Tech in Cybersecurity,Cybersecurity Analyst
Male,BSc,Computer Science,"Photography, Data Analysis, Statistics, Machine Learning","R, SQL, Git",8.08,No,None,Yes,MS in Statistics,Data Scientist
Female,BBA,Management,"IT Management, Business Analysis, Consulting","Git, SQL, Excel, Communication, ERP Systems",8.52,No,None,Yes,MS in Information Systems,IT Consultant
Female,B.Tech,Electronics,"Artificial Intelligence, Deep Learning, Sports","Problem Solving, PyTorch, SQL",9.53,Yes,TensorFlow Developer Certificate,No,No Masters,Machine Learning Engineer
Male,B.Tech,Mathematics,"Deep Learning, Research","PyTorch, TensorFlow, Excel, Machine Learning",8.22,No,None,Yes,No Masters,Machine Learning Engineer
Female,B.Tech,Information Technology,"Music, Automation, Cloud Infrastructure","Linux, AWS, GCP, Terraform, Azure",9.14,Yes,Google Cloud Professional,No,MS in Computer Networks,Cloud Engineer
Male,BDes,Visual Arts,"Travel, Graphic Design, User Experience, Creativity","Linux, Adobe XD, Communication, Sketch, Prototyping",6.76,No,None,Yes,MS in Human-Computer Interaction,UI/UX Designer
Male,BSc,Computer Science,"Gaming, Artificial Intelligence","Problem Solving, NLP, Git, Research Writing, Python",9.2,Yes,NLP Specialization,No,MS in Machine Learning,AI Research Scientist
Male,BCom,Business Administration,"Management, Travel, Business Strategy, Data Analysis","Excel, SQL, Power BI, Communication, Project Management",7.87,Yes,Power BI Certificate,Yes,MCA,Business Analyst
Male,BCA,Software Engineering,"App Development, Design, Sports, Programming","Swift, Java, React Native, Flutter, Kotlin",7.23,No,None,Yes,MCA,Mobile App Developer
Female,B.Tech,Electronics,"Automation, Cloud Infrastructure, Networking, Photography","Linux, GCP, Problem Solving",8.04,Yes,Microsoft Azure Administrator,Yes,MS in Computer Networks,Cloud Engineer
Female,BCA,Computer Science,"Consulting, Photography, IT Management, Business Analysis","SQL, Communication, ERP Systems, Linux, Project Management",6.75,No,None,Yes,MBA,IT Consultant
Male,BCA,Information Technology,"Software Development, Problem Solving","Teamwork, Python, SQL, C++, Java",7.31,Yes,Oracle Java Certification,Yes,M.Tech in CS,Software Engineer
Male,BCA,Statistics,"Data Analysis, Statistics, Reading","Machine Learning, Problem Solving, Python, SQL",8.5,Yes,Google Data Analytics,Yes,M.Tech in Data Science,Data Scientist
Female,BSc,Computer Science,"Deep Learning, Artificial Intelligence","PyTorch, TensorFlow, Python, Machine Learning, Mathematics",8.39,Yes,Google ML Engineer,No,M.Tech in AI,Machine Learning Engineer
Female,BSc,Information Technology,"Reading, Hardware","Excel, CCNA, Routing",6.6,Yes,CompTIA Network+,Yes,MS in Telecommunications,Network Engineer
Female,BSc,Information Technology,"Programming, Music, Software Development, Problem Solving","SQL, Problem Solving, Git, Java",8.37,Yes,Microsoft Azure Fundamentals,Yes,No Masters,Software Engineer
Female,B.Tech,Computer Science,"Research, Sports, Deep Learning","TensorFlow, Linux, Python, Mathematics",8.96,Yes,Google ML Engineer,No,MS in Machine Learning,Machine Learning Engineer
Male,BCA,Mathematics,"Data Analysis, Gaming","R, SQL, Excel, Python",7.17,No,None,Yes,MSc in Data Science,Data Scientist
Male,B.Tech,Computer Science,"Hardware, Reading","Firewalls, SQL, TCP/IP",8.2,No,None,Yes,MS in Telecommunications,Network Engineer
Female,B.Tech,Statistics,"Photography, Artificial Intelligence, Research","NLP, Research Writing, Communication, Mathematics, Python",8.22,Yes,NLP Specialization,No,MSc in Statistics,AI Research Scientist
Male,BCA,Information Technology,"Frontend Development, Gaming","JavaScript, SQL, HTML",8.33,Yes,Google UX Design,Yes,No Masters,Web Developer
Male,B.Tech,Information Technology,"Photography, Cloud Computing","CI/CD, Teamwork, Linux, Docker, AWS",8.07,No,None,Yes,M.Tech in CS,DevOps Engineer
Female,B.Tech,Management,"Sports, Leadership, Product Strategy","JIRA, Problem Solving, Roadmapping, Data Analysis, Communication",8.11,No,None,Yes,M.Tech in CS,Product Manager
Female,BCom,Management,"Management, Business Strategy","Communication, Power BI, SQL, Linux, Excel",6.78,Yes,PMI-PBA,Yes,No Masters,Business Analyst
Female,B.Tech,Software Engineering,"Problem Solving, Gaming, Programming, Software Development","C++, SQL, Git, Linux",8.3,Yes,Oracle Java Certification,Yes,M.Tech in CS,Software Engineer
Male,Diploma,Information Technology,"Networking, System Administration, Travel","TCP/IP, Firewalls, Problem Solving, CCNA, Routing",8.57,No,None,Yes,M.Tech in Networking,Network Engineer
Male,BSc,Computer Science,"Cyber Security, Reading, Networking","Ethical Hacking, Excel, Communication",9.27,Yes,CompTIA Security+,No,MS in Information Security,Cybersecurity Analyst
Male,BCA,Software Engineering,"Music, Programming","Excel, Java, Git, Python",7.82,Yes,Google Associate Engineer,Yes,No Masters,Software Engineer
Female,B.Tech,Computer Science,"Deep Learning, Artificial Intelligence, Photography, Research","Machine Learning, Python, PyTorch",7.71,Yes,TensorFlow Developer Certificate,Yes,No Masters,Machine Learning Engineer
Male,B.Tech,Physics,"Mathematics, Artificial Intelligence","Deep Learning, Excel, Teamwork, Mathematics, Python",9.73,Yes,Deep Learning Specialization,Yes,M.Tech in AI,AI Research Scientist
Female,B.Tech,Information Technology,"UI Design, Web Design, Frontend Development","React, JavaScript, CSS, Excel, Node.js",8.09,Yes,Meta Front-End Developer,Yes,M.Tech in CS,Web Developer
Female,B.Tech,Information Technology,"System Design, Automation","Linux, CI/CD, Docker, AWS",8.41,No,None,Yes,No Masters,DevOps Engineer
Male,MSc,Computer Science,"Artificial Intelligence, Mathematics, Sports, Research","Communication, Research Writing, Deep Learning, Mathematics, Python",9.77,Yes,Reinforcement Learning Specialization,Yes,MSc in Statistics,AI Research Scientist
Male,B.Tech,Design,"Reading, User Experience, Graphic Design","SQL, Figma, Problem Solving",5.82,No,None,No,MS in Human-Computer Interaction,UI/UX Designer
Male,BSc,Web Technology,"Web Design, Sports","Git, React, CSS, JavaScript, HTML",7.88,Yes,Full Stack Web Development,Yes,MCA,Web Developer
Female,B.Tech,Computer Science,"Gaming, Programming, Design","Communication, Kotlin, Flutter",8.08,Yes,Apple Swift Certification,Yes,MCA,Mobile App Developer
Male,B.Tech,Computer Science,"Software Development, Programming, Photography, Problem Solving","SQL, C++, Linux, Java",6.82,No,None,Yes,MS in Software Engineering,Software Engineer
Male,B.Tech,Information Technology,"Networking, Cyber Security, Ethical Hacking","Ethical Hacking, Python, Network Security, Problem Solving",8.85,Yes,CEH Ethical Hacker,Yes,M.Tech in Cybersecurity,Cybersecurity Analyst
Female,BCA,Information Technology,"Web Design, UI Design","Node.js, JavaScript, Git",6.34,No,None,Yes,MCA,Web Developer
Male,BSc,Computer Science,"Deep Learning, Artificial Intelligence, Research, Gaming","TensorFlow, PyTorch, Mathematics, SQL, Python",9.01,Yes,Google ML Engineer,Yes,MSc in Mathematics,Machine Learning Engineer
Male,B.Tech,Business Administration,"Product Strategy, Market Research, Leadership, Reading","Agile, JIRA, Communication, Roadmapping, Data Analysis",8.29,Yes,Google Project Management,Yes,MBA,Product Manager
Male,BBA,Computer Science,"Management, Data Analysis, Sports, Business Strategy","Power BI, Teamwork, Linux, Project Management",8.99,Yes,PMI-PBA,No,MCA,Business Analyst
Male,B.Tech,Mathematics,"Backend, Database Management, Travel","Oracle, SQL, Problem Solving",6.83,Yes,Oracle DBA Certification,Yes,MCA,Database Administrator
Male,BCA,Information Technology,"Travel, Design, Programming, App Development","Swift, Java, Communication",6.6,No,None,No,No Masters,Mobile App Developer
Female,BSc,Electronics,"Music, System Administration","Firewalls, TCP/IP, SQL",6.02,No,None,Yes,No Masters,Network Engineer
Female,BSc,Electronics,"Ethical Hacking, Cyber Security","Python, Excel, Ethical Hacking",7.53,No,None,Yes,No Masters,Cybersecurity Analyst
Female,BSc,Web Technology,"Photography, Web Design, Frontend Development","Node.js, React, HTML, Linux, Problem Solving",7.05,Yes,Meta Front-End Developer,Yes,MCA,Web Developer
Female,BCA,Computer Science,"Web Design, Frontend Development","Git, CSS, Node.js, HTML",7.49,Yes,Google UX Design,No,No Masters,Web Developer
Male,BSc,Mathematics,"Artificial Intelligence, Deep Learning, Research, Travel","Machine Learning, Python, PyTorch, Mathematics",7.53,Yes,Google ML Engineer,Yes,MS in Machine Learning,Machine Learning Engineer
Male,B.Tech,Information Technology,"Backend, Music, Database Management, Data Modeling","Teamwork, MongoDB, SQL, Linux",6.52,Yes,Oracle DBA Certification,Yes,No Masters,Database Administrator
Male,B.Tech,Computer Science,"Backend, Database Management, Music","PostgreSQL, Linux, SQL, MySQL",6.53,Yes,MongoDB DBA,No,MS in Information Systems,Database Administrator
Female,BCA,Computer Science,"Problem Solving, Programming, Software Development","Git, Java, Linux",8.68,No,None,Yes,No Masters,Software Engineer
Female,B.Tech,Computer Science,"Data Modeling, Database Management, Photography","MongoDB, Oracle, Teamwork, Communication, SQL",7.96,No,None,No,No Masters,Database Administrator
Male,BSc,Computer Science,"Problem Solving, Software Development, Programming","C++, Java, SQL",8.9,Yes,AWS Certified Developer,Yes,No Masters,Software Engineer
Male,B.Tech,Electronics,"Networking, Ethical Hacking, Cyber Security","Teamwork, Cryptography, Ethical Hacking, SQL",8.55,Yes,CompTIA Security+,Yes,MS in Information Security,Cybersecurity Analyst
Male,BCA,Computer Science,"Programming, App Development, Photography, Design","Git, Java, Communication, React Native",7.06,No,None,No,MCA,Mobile App Developer
Male,BCA,Design,"Graphic Design, User Experience","Figma, Sketch, Photoshop",7.64,Yes,Adobe XD Certification,Yes,M.Des,UI/UX Designer
Male,B.Tech,Computer Science,"Automation, Reading, Cloud Infrastructure, Networking","Communication, Azure, GCP, Linux, AWS",9.46,Yes,Microsoft Azure Administrator,Yes,M.Tech in Cloud,Cloud Engineer
Male,B.Tech,Computer Science,"Programming, App Development, Design, Sports","React Native, Kotlin, Java, Flutter, Linux",7.38,Yes,Google Associate Android Developer,Yes,M.Tech in CS,Mobile App Developer
Male,BCA,Computer Science,"Frontend Development, Web Design, Gaming, UI Design","JavaScript, Node.js, CSS, SQL, React",7.21,Yes,Meta Front-End Developer,Yes,M.Tech in CS,Web Developer
Male,Diploma,Computer Science,"Hardware, System Administration","CCNA, Routing, Firewalls, Problem Solving",7.29,No,None,Yes,MS in Telecommunications,Network Engineer
Male,B.Tech,Mathematics,"Research, Artificial Intelligence, Travel, Deep Learning","Excel, TensorFlow, PyTorch, Machine Learning",9.42,No,None,Yes,MSc in Mathematics,Machine Learning Engineer
Male,BSc,Electronics,"System Administration, Reading","Communication, Teamwork, CCNA, Linux",8.59,No,None,Yes,MS in Telecommunications,Network Engineer
Female,BBA,Computer Science,"Reading, Market Research, Leadership","Data Analysis, Teamwork, Linux, Agile",7.7,Yes,Google Project Management,Yes,MS in Product Management,Product Manager
Male,BSc,Information Technology,"Networking, Cooking, Hardware","Teamwork, Routing, Firewalls, TCP/IP, CCNA",7.29,Yes,CCNA,Yes,No Masters,Network Engineer
Male,B.Tech,Mathematics,"Travel, Artificial Intelligence, Research, Deep Learning","Python, TensorFlow, Linux",7.94,Yes,Deep Learning Specialization,Yes,MSc in Mathematics,Machine Learning Engineer
Male,BSc,Engineering,"Gaming, Product Strategy","JIRA, Roadmapping, Communication, Agile, Problem Solving",7.2,Yes,Certified Product Manager,Yes,No Masters,Product Manager
Male,B.Tech,Computer Science,"Photography, Database Management, Data Modeling","PostgreSQL, MongoDB, Oracle",6.38,No,None,Yes,MS in Information Systems,Database Administrator
Male,B.Tech,Computer Science,"System Administration, Hardware, Networking","SQL, TCP/IP, CCNA, Routing, Linux",8.78,Yes,CCNA,Yes,M.Tech in Networking,Network Engineer
Male,BBA,Commerce,"Data Analysis, Reading, Business Strategy","Power BI, Project Management, Git, Linux, Excel",8.67,No,None,Yes,No Masters,Business Analyst
Male,B.Tech,Computer Science,"Cloud Computing, Automation, Reading","Docker, SQL, CI/CD",8.19,No,None,Yes,MS in Cloud Computing,DevOps Engineer
Female,B.Tech,Information Technology,"Automation, Reading, Cloud Computing","Communication, Docker, Linux, AWS, Kubernetes",7.04,Yes,Docker Certified Associate,Yes,No Masters,DevOps Engineer
Female,B.Tech,Computer Science,"Sports, Database Management, Backend","Teamwork, SQL, PostgreSQL, Oracle",8.01,Yes,Microsoft SQL Server,Yes,MS in Information Systems,Database Administrator
Female,BSc,Mathematics,"Deep Learning, Research, Artificial Intelligence","Machine Learning, Mathematics, PyTorch, Python",9.37,Yes,Deep Learning Specialization,Yes,MS in Machine Learning,Machine Learning Engineer
Female,BCA,Mathematics,"Photography, Data Modeling","PostgreSQL, SQL, MongoDB, Oracle, MySQL",7.2,Yes,PostgreSQL Associate,Yes,MCA,Database Administrator
Male,B.Tech,Electronics,"Automation, Networking, Cloud Infrastructure","Linux, AWS, SQL",7.51,No,None,Yes,MS in Computer Networks,Cloud Engineer
Female,MSc,Statistics,"Travel, Mathematics, Research","NLP, Communication, Teamwork, Python",9.03,No,None,Yes,MS in Machine Learning,AI Research Scientist
Male,BSc,Computer Science,"Cyber Security, Networking, Reading","Linux, Python, Cryptography, Ethical Hacking",7.68,Yes,CompTIA Security+,Yes,No Masters,Cybersecurity Analyst
Female,B.Tech,Business Administration,"Business Strategy, Data Analysis, Management","Git, Problem Solving, Power BI, SQL, Communication",6.68,No,None,Yes,No Masters,Business Analyst
Female,B.Tech,Electronics,"Travel, Deep Learning, Artificial Intelligence","PyTorch, TensorFlow, Git",8.86,No,None,No,MS in Machine Learning,Machine Learning Engineer
Male,BSc,Mathematics,"Artificial Intelligence, Deep Learning, Gaming, Research","Mathematics, Machine Learning, PyTorch, TensorFlow, Python",8.98,Yes,AWS ML Specialty,No,MSc in Mathematics,Machine Learning Engineer
Male,B.Tech,Information Technology,"Programming, Photography, Design, App Development","Problem Solving, Java, Linux, Swift, React Native",8.54,No,None,No,M.Tech in CS,Mobile App Developer
Male,B.Tech,Electronics,"Cloud Computing, System Design, Automation","CI/CD, Linux, Git",7.15,Yes,Docker Certified Associate,Yes,MS in Cloud Computing,DevOps Engineer
Female,B.Tech,Electronics,"Research, Deep Learning","PyTorch, Excel, TensorFlow, Python, Machine Learning",9.53,No,None,Yes,MSc in Mathematics,Machine Learning Engineer
Male,B.Tech,Computer Science,"Automation, System Design, Reading","CI/CD, Kubernetes, Linux, Teamwork",9.22,No,None,Yes,No Masters,DevOps Engineer
Male,BSc,Mathematics,"Database Management, Data Modeling","MySQL, SQL, PostgreSQL, Teamwork, Oracle",6.49,No,None,No,No Masters,Database Administrator
Female,Diploma,Computer Science,"Music, Hardware, System Administration, Networking","CCNA, Linux, Routing, Firewalls",7.35,Yes,CompTIA Network+,No,M.Tech in Networking,Network Engineer
Male,BSc,Software Engineering,"Problem Solving, Programming, Gaming","Git, Excel, Python",9.34,No,None,No,M.Tech in CS,Software Engineer
Male,BSc,Electronics,"Automation, Cloud Computing, System Design, Cooking","Docker, SQL, CI/CD, Kubernetes, AWS",7.44,No,None,Yes,MS in Cloud Computing,DevOps Engineer
Male,BSc,Information Technology,"Programming, Cooking, Software Development","Teamwork, C++, Git, SQL",9.42,Yes,Oracle Java Certification,No,M.Tech in CS,Software Engineer
Female,BSc,Computer Science,"Frontend Development, Web Design","React, Git, HTML, JavaScript",7.86,Yes,freeCodeCamp Web Dev,Yes,M.Tech in CS,Web Developer
Male,B.Tech,Computer Science,"Frontend Development, UI Design, Web Design, Reading","Problem Solving, Git, Node.js, HTML",8.25,Yes,Meta Front-End Developer,Yes,MCA,Web Developer
Male,BSc,Electronics,"Networking, Automation","Communication, Linux, AWS, Git, Azure",7.15,No,None,No,M.Tech in Cloud,Cloud Engineer
Female,B.Tech,Information Technology,"Sports, System Design, Cloud Computing, Automation","Docker, SQL, CI/CD, Git",8.84,Yes,Docker Certified Associate,No,MS in Cloud Computing,DevOps Engineer
Female,B.Tech,Web Technology,"Web Design, UI Design, Sports, Frontend Development","Node.js, Problem Solving, CSS",8.17,No,None,No,M.Tech in CS,Web Developer
Male,BSc,Engineering,"Product Strategy, Travel, Leadership","Agile, JIRA, Communication, Data Analysis, Roadmapping",7.64,No,None,Yes,M.Tech in CS,Product Manager
Male,BSc,Computer Science,"Artificial Intelligence, Research, Mathematics, Reading","Python, Deep Learning, Linux",9.75,No,None,Yes,MSc in Statistics,AI Research Scientist
Female,B.Tech,Management,"Business Analysis, IT Management, Consulting, Photography","Communication, Excel, Problem Solving, SQL",7.72,No,None,No,MS in Information Systems,IT Consultant
Male,Diploma,Information Technology,"Hardware, Networking, System Administration","Excel, Firewalls, CCNA",6.43,Yes,Juniper JNCIA,Yes,M.Tech in Networking,Network Engineer
Female,B.Tech,Computer Science,"Frontend Development, Web Design","React, Node.js, CSS",8.57,Yes,Full Stack Web Development,Yes,No Masters,Web Developer
Male,B.Tech,Software Engineering,"Design, Travel","Kotlin, React Native, Git",7.01,Yes,Google Associate Android Developer,Yes,MCA,Mobile App Developer
Male,BSc,Information Technology,"Automation, Cloud Infrastructure, Networking, Travel","Teamwork, Linux, Terraform, GCP, AWS",8.59,Yes,Microsoft Azure Administrator,Yes,M.Tech in Cloud,Cloud Engineer
Male,BSc,Information Technology,"Automation, Photography, System Design","Linux, Teamwork, CI/CD, AWS",7.84,Yes,HashiCorp Terraform,Yes,MS in Cloud Computing,DevOps Engineer
Male,BCom,Information Technology,"Consulting, Business Analysis, Music, IT Management","Git, Linux, SQL, Project Management, Communication",6.89,Yes,PMP Certification,No,MBA,IT Consultant
Female,B.Tech,Information Technology,"Networking, Ethical Hacking","Ethical Hacking, Problem Solving, Network Security, Python, Cryptography",8.74,Yes,CISSP,Yes,MS in Information Security,Cybersecurity Analyst
Female,BSc,Computer Science,"Sports, Ethical Hacking, Cyber Security","Teamwork, Ethical Hacking, Linux, Network Security, Cryptography",6.86,No,None,Yes,MS in Information Security,Cybersecurity Analyst
Male,B.Tech,Computer Science,"Creativity, Graphic Design, User Experience, Travel","Sketch, Figma, Prototyping",6.15,No,None,Yes,No Masters,UI/UX Designer
Male,BCA,Information Technology,"Design, Programming, App Development","React Native, Communication, Swift, Java",7.75,Yes,Flutter Development Bootcamp,Yes,No Masters,Mobile App Developer
Female,B.Tech,Computer Science,"Networking, System Administration, Sports, Hardware","Routing, Excel, Linux, Firewalls",6.12,Yes,Juniper JNCIA,No,MS in Telecommunications,Network Engineer
Female,BSc,Computer Science,"User Experience, Cooking","Prototyping, Sketch, Figma, Adobe XD, Photoshop",6.56,No,None,No,M.Des,UI/UX Designer
Female,B.Tech,Mathematics,"Research, Gaming, Mathematics","Git, Problem Solving, Mathematics, Python, Research Writing",9.78,Yes,Deep Learning Specialization,No,M.Tech in AI,AI Research Scientist
Male,BSc,Statistics,"Reading, Mathematics","Python, Research Writing, Git",9.45,Yes,Google ML Engineer,Yes,MSc in Statistics,AI Research Scientist
Female,B.Tech,Mathematics,"Artificial Intelligence, Travel, Mathematics","Python, Deep Learning, NLP, Communication, Mathematics",8.01,Yes,Deep Learning Specialization,Yes,PhD in CS,AI Research Scientist
Female,B.Tech,Mathematics,"Deep Learning, Artificial Intelligence, Research, Photography","Python, Mathematics, PyTorch",9.49,Yes,AWS ML Specialty,Yes,M.Tech in AI,Machine Learning Engineer
Female,B.Tech,Information Technology,"Design, App Development","Flutter, Swift, Java",8.48,Yes,Apple Swift Certification,Yes,MCA,Mobile App Developer
Female,BCom,Computer Science,"Business Strategy, Data Analysis","Communication, Project Management, Power BI, SQL",7.6,Yes,PMI-PBA,Yes,MCA,Business Analyst
Female,BSc,Information Technology,"Music, Data Modeling, Database Management, Backend","Oracle, MySQL, MongoDB",8.56,Yes,MongoDB DBA,Yes,M.Tech in CS,Database Administrator
Female,BSc,Information Technology,"System Design, Automation, Photography, Cloud Computing","CI/CD, Kubernetes, SQL",8.54,Yes,HashiCorp Terraform,No,MS in Cloud Computing,DevOps Engineer
Male,B.Tech,Computer Science,"App Development, Programming, Design, Sports","Communication, Swift, Kotlin, Problem Solving",7.31,Yes,Google Associate Android Developer,No,No Masters,Mobile App Developer
Male,B.Tech,Computer Science,"Cloud Computing, Automation, System Design","Docker, Communication, Linux, Kubernetes, SQL",8.28,Yes,AWS DevOps Engineer,No,MS in Cloud Computing,DevOps Engineer
Male,B.Tech,Information Technology,"Design, Photography, Programming, App Development","Java, Kotlin, Swift",7.55,Yes,React Native Certificate,No,No Masters,Mobile App Developer
Female,B.Tech,Electronics,"Cooking, Cloud Computing","Linux, CI/CD, Excel, SQL, Kubernetes",8.63,Yes,HashiCorp Terraform,No,M.Tech in CS,DevOps Engineer
Female,BCA,Information Technology,"Programming, Design, Reading","Java, Kotlin, Flutter, Teamwork, React Native",6.2,Yes,Google Associate Android Developer,Yes,MCA,Mobile App Developer
